Name,Games Played,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV,Age,Birth_Place,Birthdate,Collage,Experience,Height,Team,Weight,BMI,PTSPM,FGMPM,FGAPM,TPMPM,TPAPM,DREBPM,ASTPM,STLPM,BLKPM,OREBPM,Pos
Jared Cunningham,19,89,35,12,33,36.4,4,13,30.8,7,13,53.8,1,8,9,10,3,0,7,12,23,1.43,0.43,24,us,5/22/91,Oregon State University,2,190,LAC,87.75,24.30747922,0.393,0.135,0.371,0.045,0.146,0.09,0.112,0.034,0,0.011,SG
Jared Dudley,72,1717,518,198,423,46.8,74,192,38.5,48,67,71.6,45,175,220,130,72,11,62,113,645,2.1,1.16,30,us,7/10/85,Boston College,7,197.5,MIL,101.25,25.95737863,0.302,0.115,0.246,0.043,0.112,0.102,0.076,0.042,0.006,0.026,SG
Jared Sullinger,58,1566,770,311,708,43.9,52,184,28.3,96,129,74.4,147,294,441,134,44,42,78,153,923,1.72,0.56,23,us,3/4/92,Ohio State University,2,202.5,BOS,117,28.53223594,0.492,0.199,0.452,0.033,0.117,0.188,0.086,0.028,0.027,0.094,PF
Jarnell Stokes,19,126,57,21,37,56.8,0,0,0,15,28,53.6,16,18,34,4,5,5,7,25,69,0.57,0.71,,,,,,,,,,0.452,0.167,0.294,0,0,0.143,0.032,0.04,0.04,0.127,
Jarrett Jack,80,2241,957,359,817,43.9,39,146,26.7,200,227,88.1,19,226,245,373,75,13,191,143,987,1.95,0.39,32,us,10/28/83,Georgia Institute of Technology,9,187.5,NJN,90,25.6,0.427,0.16,0.365,0.017,0.065,0.101,0.166,0.033,0.006,0.008,PG
Jason Maxiell,61,878,203,81,192,42.2,0,0,0,41,71,57.7,86,117,203,19,18,44,29,96,317,0.66,0.62,32,us,2/18/83,University of Cincinnati,9,197.5,CHA,117,29.99519308,0.231,0.092,0.219,0,0,0.133,0.022,0.021,0.05,0.098,PF
Jason Richardson,19,416,172,62,178,34.8,31,96,32.3,17,22,77.3,13,53,66,38,13,3,16,28,155,2.38,0.81,34,us,1/20/81,Michigan State University,12,195,PHI,99,26.03550296,0.413,0.149,0.428,0.075,0.231,0.127,0.091,0.031,0.007,0.031,SG
Jason Smith,82,1785,656,257,592,43.4,15,42,35.7,127,153,83,98,226,324,140,32,44,104,205,731,1.35,0.31,,,,,,,,,,0.368,0.144,0.332,0.008,0.024,0.127,0.078,0.018,0.025,0.055,
Jason Terry,77,1641,541,188,446,42.2,126,323,39,39,48,81.3,15,106,121,147,66,19,74,116,553,1.99,0.89,,,,,,,,,,0.33,0.115,0.272,0.077,0.197,0.065,0.09,0.04,0.012,0.009,
Jason Thompson,81,1991,491,201,428,47,0,1,0,89,143,62.2,139,391,530,85,33,57,84,239,831,1.01,0.39,,,,,,,,,,0.247,0.101,0.215,0,0.001,0.196,0.043,0.017,0.029,0.07,
JaVale McGee,23,256,106,42,79,53.2,0,0,0,22,33,66.7,18,43,61,3,2,20,18,30,126,0.17,0.11,27,us,1/19/88,"University of Nevada, Reno",6,210,PHI,121.5,27.55102041,0.414,0.164,0.309,0,0,0.168,0.012,0.008,0.078,0.07,C
Jeff Adrien,17,215,60,19,44,43.2,0,0,0,22,38,57.9,23,54,77,15,4,9,9,30,115,1.67,0.44,29,us,2/10/86,University of Connecticut,4,197.5,MIN,110.25,28.26470117,0.279,0.088,0.205,0,0,0.251,0.07,0.019,0.042,0.107,PF
Jeff Ayres,51,383,137,55,95,57.9,0,0,0,27,36,75,37,80,117,14,8,8,26,60,209,0.54,0.31,28,us,4/29/87,Arizona State University,4,202.5,SAS,108,26.33744856,0.358,0.144,0.248,0,0,0.209,0.037,0.021,0.021,0.097,PF
Jeff Green,78,2455,1168,416,967,43,97,292,33.2,239,287,83.3,64,264,328,134,53,34,108,147,1010,1.24,0.49,29,us,8/28/86,Georgetown University,6,202.5,MEM,105.75,25.78875171,0.476,0.169,0.394,0.04,0.119,0.108,0.055,0.022,0.014,0.026,SF
Jeff Teague,73,2228,1162,408,887,46,71,207,34.3,275,319,86.2,30,154,184,513,125,31,205,139,1287,2.5,0.61,27,us,6/10/88,Wake Forest University,5,185,ATL,83.7,24.45580716,0.522,0.183,0.398,0.032,0.093,0.069,0.23,0.056,0.014,0.013,PG
Jeff Withey,37,259,98,32,64,50,0,0,0,34,50,68,23,41,64,11,4,18,12,26,135,0.92,0.33,,,,,,,,,,0.378,0.124,0.247,0,0,0.158,0.042,0.015,0.069,0.089,
Jeffery Taylor,29,430,127,45,114,39.5,11,36,30.6,26,41,63.4,14,39,53,22,12,1,19,36,112,1.16,0.63,26,se,5/23/89,Vanderbilt University,2,197.5,CHA,101.25,25.95737863,0.295,0.105,0.265,0.026,0.084,0.091,0.051,0.028,0.002,0.033,SF
Jerami Grant,65,1377,411,124,352,35.2,49,156,31.4,114,193,59.1,49,149,198,79,40,68,85,144,404,0.93,0.47,21,us,3/12/94,Syracuse University,0,200,PHI,94.5,23.625,0.298,0.09,0.256,0.036,0.113,0.108,0.057,0.029,0.049,0.036,SF
Jerel McNeal,6,36,9,3,11,27.3,1,2,50,2,2,100,0,3,3,2,3,1,5,5,5,0.4,0.6,28,us,6/1/87,Marquette University,0,187.5,PHO,90,25.6,0.25,0.083,0.306,0.028,0.056,0.083,0.056,0.083,0.028,0,PG
Jeremy Evans,38,266,90,32,58,55.2,2,5,40,24,29,82.8,26,45,71,13,11,12,5,29,161,2.6,2.2,28,us,10/24/87,Western Kentucky University,4,202.5,UTA,90,21.9478738,0.338,0.12,0.218,0.008,0.019,0.169,0.049,0.041,0.045,0.098,SF
Jeremy Lamb,47,633,295,104,250,41.6,38,111,34.2,49,55,89.1,8,99,107,44,21,6,27,52,294,1.63,0.78,23,us,5/30/92,University of Connecticut,2,192.5,OKC,83.25,22.46584584,0.466,0.164,0.395,0.06,0.175,0.156,0.07,0.033,0.009,0.013,SG
Jeremy Lin,74,1907,832,277,654,42.4,65,176,36.9,213,268,79.5,26,170,196,339,82,32,166,189,883,2.04,0.49,27,us,8/23/88,Harvard University,4,187.5,LAL,90,25.6,0.436,0.145,0.343,0.034,0.092,0.089,0.178,0.043,0.017,0.014,PG
Jerome Jordan,44,383,138,50,94,53.2,0,0,0,38,44,86.4,52,53,105,13,8,15,22,58,207,0.59,0.36,29,jm,9/29/86,University of Tulsa,1,210,NJN,113.85,25.81632653,0.36,0.131,0.245,0,0,0.138,0.034,0.021,0.039,0.136,C
Jerrelle Benimon,2,3,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,0,2,0,0,24,us,8/1/91,Towson University,0,200,UTA,110.25,27.5625,0,0,0,0,0,0.667,0,0,0,0.333,PF
Jerryd Bayless,77,1717,598,220,516,42.6,37,120,30.8,121,137,88.3,22,189,211,233,59,12,133,163,668,1.75,0.44,27,us,8/20/88,University of Arizona,6,187.5,MIL,90,25.6,0.348,0.128,0.301,0.022,0.07,0.11,0.136,0.034,0.007,0.013,PG
Jimmer Fredette,50,509,178,63,166,38,9,48,18.8,43,45,95.6,8,32,40,58,15,2,33,43,155,1.76,0.46,26,us,2/25/89,Brigham Young University,3,185,NOH,87.75,25.63915267,0.35,0.124,0.326,0.018,0.094,0.063,0.114,0.029,0.004,0.016,PG
Jimmy Butler,65,2513,1301,421,912,46.2,73,193,37.8,386,463,83.4,114,265,379,212,114,36,93,108,1381,2.28,1.23,26,us,9/14/89,Marquette University,3,197.5,CHI,99,25.38054799,0.518,0.168,0.363,0.029,0.077,0.105,0.084,0.045,0.014,0.045,SG
JJ Hickson,73,1411,552,218,459,47.5,0,2,0,116,201,57.7,150,302,452,57,36,35,96,136,710,0.59,0.38,27,us,9/4/88,North Carolina State University,6,202.5,DEN,108.9,26.5569273,0.391,0.155,0.325,0,0.001,0.214,0.04,0.026,0.025,0.106,C
JJ Redick,78,2409,1277,447,938,47.7,200,458,43.7,183,203,90.1,22,145,167,137,39,8,95,134,1022,1.44,0.41,31,us,6/24/84,Duke University,8,190,LAC,85.5,23.68421053,0.53,0.186,0.389,0.083,0.19,0.06,0.057,0.016,0.003,0.009,SG
Joakim Noah,67,2049,485,190,427,44.5,0,2,0,105,174,60.3,219,427,646,312,48,74,123,203,1136,2.54,0.39,30,us,2/25/85,University of Florida,7,207.5,CHI,103.5,24.03832196,0.237,0.093,0.208,0,0.001,0.208,0.152,0.023,0.036,0.107,C
Jodie Meeks,60,1462,663,222,534,41.6,74,212,34.9,145,160,90.6,12,92,104,79,59,6,57,76,527,1.39,1.04,28,us,8/21/87,University of Kentucky,5,190,DET,94.5,26.17728532,0.453,0.152,0.365,0.051,0.145,0.063,0.054,0.04,0.004,0.008,SG
Joe Harris,51,493,136,48,120,40,31,84,36.9,9,15,60,7,34,41,26,7,2,27,62,107,0.96,0.26,24,us,9/7/91,University of Virginia,0,195,CLE,98.55,25.91715976,0.276,0.097,0.243,0.063,0.17,0.069,0.053,0.014,0.004,0.014,SG
Joe Ingles,79,1673,396,147,354,41.5,72,202,35.6,30,40,75,22,153,175,182,72,10,98,124,520,1.86,0.74,28,au,10/2/87,,0,200,UTA,101.7,25.425,0.237,0.088,0.212,0.043,0.121,0.091,0.109,0.043,0.006,0.013,SF
Joe Johnson,80,2791,1154,446,1025,43.5,121,337,35.9,141,176,80.1,53,331,384,292,59,14,137,120,1152,2.13,0.43,34,us,6/29/81,University of Arkansas,13,197.5,NJN,108,27.68787053,0.413,0.16,0.367,0.043,0.121,0.119,0.105,0.021,0.005,0.019,SG
Joel Anthony,49,406,87,36,62,58.1,0,0,0,15,22,68.2,32,61,93,5,12,49,12,55,201,0.42,1,33,ca,8/9/82,"University of Nevada, Las Vegas",7,202.5,DET,110.25,26.8861454,0.214,0.089,0.153,0,0,0.15,0.012,0.03,0.121,0.079,C
Joel Freeland,48,617,169,74,151,49,0,0,0,21,25,84,62,129,191,16,9,23,23,93,304,0.7,0.39,28,gb,2/7/87,,2,205,POR,112.5,26.76977989,0.274,0.12,0.245,0,0,0.209,0.026,0.015,0.037,0.1,C
Joey Dorsey,69,854,184,80,145,55.2,0,1,0,24,83,28.9,103,176,279,25,40,25,41,157,388,0.61,0.98,32,us,12/16/83,University of Memphis,3,200,HOU,120.6,30.15,0.215,0.094,0.17,0,0.001,0.206,0.029,0.047,0.029,0.121,PF
Joffrey Lauvergne,24,268,93,36,89,40.4,3,16,18.8,18,28,64.3,27,50,77,13,8,10,22,43,116,0.59,0.36,24,fr,9/30/91,,0,207.5,DEN,99,22.99317753,0.347,0.134,0.332,0.011,0.06,0.187,0.049,0.03,0.037,0.101,C
John Henson,67,1228,470,196,346,56.6,0,0,0,78,137,56.9,124,188,312,59,28,135,87,152,708,0.68,0.32,25,us,12/28/90,University of North Carolina,2,207.5,MIL,103.05,23.93380752,0.383,0.16,0.282,0,0,0.153,0.048,0.023,0.11,0.101,C
John Jenkins,24,297,135,49,99,49.5,21,52,40.4,16,19,84.2,2,37,39,13,10,0,8,15,136,1.63,1.25,24,us,3/6/91,Vanderbilt University,2,190,ATL,96.75,26.80055402,0.455,0.165,0.333,0.071,0.175,0.125,0.044,0.034,0,0.007,SG
John Lucas III,21,272,98,42,104,40.4,9,29,31,5,5,100,4,12,16,60,8,0,16,18,104,3.75,0.5,33,us,11/21/82,Oklahoma State University,6,177.5,DET,74.7,23.70958143,0.36,0.154,0.382,0.033,0.107,0.044,0.221,0.029,0,0.015,PG
John Salmons,21,270,42,16,48,33.3,8,26,30.8,2,4,50,4,17,21,13,9,4,5,25,50,2.6,1.8,,,,,,,,,,0.156,0.059,0.178,0.03,0.096,0.063,0.048,0.033,0.015,0.015,
John Wall,79,2837,1387,519,1166,44.5,65,217,30,284,362,78.5,36,330,366,792,138,45,304,180,1699,2.61,0.45,,,,,,,,,,0.489,0.183,0.411,0.023,0.076,0.116,0.279,0.049,0.016,0.013,
Johnny O'Bryant III,34,368,100,44,120,36.7,0,0,0,12,27,44.4,26,38,64,17,5,4,25,44,74,0.68,0.2,22,us,6/1/93,Louisiana State University,0,202.5,MIL,115.65,28.20301783,0.272,0.12,0.326,0,0,0.103,0.046,0.014,0.011,0.071,PF
Jon Leuer,63,824,286,121,273,44.3,7,29,24.1,37,59,62.7,50,157,207,46,17,9,35,86,356,1.31,0.49,26,us,5/14/89,University of Wisconsin,3,205,MEM,102.6,24.41403926,0.347,0.147,0.331,0.008,0.035,0.191,0.056,0.021,0.011,0.061,PF
Jonas Jerebko,75,1230,448,169,379,44.6,54,140,38.6,56,66,84.8,93,189,282,71,46,18,44,135,601,1.61,1.05,28,se,3/2/87,,4,205,DET,103.95,24.73527662,0.364,0.137,0.308,0.044,0.114,0.154,0.058,0.037,0.015,0.076,PF
Jonas Valanciunas,80,2096,963,373,652,57.2,0,1,0,217,276,78.6,215,478,693,39,33,95,109,222,1376,0.36,0.3,23,lt,5/6/92,,2,210,TOR,119.25,27.04081633,0.459,0.178,0.311,0,0,0.228,0.019,0.016,0.045,0.103,C
Jordan Adams,30,248,94,35,86,40.7,10,25,40,14,23,60.9,9,19,28,16,16,7,14,24,87,1.14,1.14,21,us,7/8/94,"University of California, Los Angeles",0,192.5,MEM,94.05,25.38033395,0.379,0.141,0.347,0.04,0.101,0.077,0.065,0.065,0.028,0.036,SG
Jordan Clarkson,59,1476,703,267,596,44.8,38,121,31.4,131,158,82.9,56,135,191,206,51,12,96,109,711,2.15,0.53,23,us,6/7/92,University of Missouri,0,192.5,LAL,87.3,23.55877888,0.476,0.181,0.404,0.026,0.082,0.091,0.14,0.035,0.008,0.038,PG
Jordan Farmar,36,529,167,61,158,38.6,35,97,36.1,10,11,90.9,8,34,42,67,20,5,32,52,171,2.09,0.63,29,us,11/30/86,"University of California, Los Angeles",7,185,LAC,81,23.66691015,0.316,0.115,0.299,0.066,0.183,0.064,0.127,0.038,0.009,0.015,PG
Jordan Hamilton,14,122,38,14,35,40,10,21,47.6,0,0,0,2,14,16,7,2,0,4,14,38,1.75,0.5,25,us,10/6/90,University of Texas at Austin,3,197.5,LAC,99,25.38054799,0.311,0.115,0.287,0.082,0.172,0.115,0.057,0.016,0,0.016,SF
Jordan Hill,70,1874,841,357,777,45.9,3,11,27.3,124,168,73.8,174,382,556,103,34,52,106,164,1016,0.97,0.32,28,us,7/27/87,University of Arizona,5,205,LAL,105.75,25.1635931,0.449,0.191,0.415,0.002,0.006,0.204,0.055,0.018,0.028,0.093,C
Jorge Gutierrez,20,174,53,22,41,53.7,0,3,0,9,13,69.2,5,20,25,22,6,0,12,25,71,1.83,0.5,27,mx,12/27/88,University of California,1,187.5,MIL,85.95,24.448,0.305,0.126,0.236,0,0.017,0.115,0.126,0.034,0,0.029,PG
Jose Calderon,42,1270,382,147,354,41.5,59,142,41.5,29,32,90.6,19,105,124,198,31,0,75,76,450,2.64,0.41,34,es,9/28/81,,9,187.5,NYK,90,25.6,0.301,0.116,0.279,0.046,0.112,0.083,0.156,0.024,0,0.015,PG
Josh McRoberts,17,296,72,28,53,52.8,8,19,42.1,8,13,61.5,7,38,45,33,12,3,22,41,113,1.5,0.55,28,us,2/28/87,Duke University,7,205,MIA,108,25.6989887,0.243,0.095,0.179,0.027,0.064,0.128,0.111,0.041,0.01,0.024,PF
Josh Smith,83,2301,1027,414,987,41.9,72,228,31.6,127,255,49.8,152,378,530,277,87,116,206,228,1130,1.35,0.42,,,,,,,,,,0.446,0.18,0.429,0.031,0.099,0.164,0.12,0.038,0.05,0.066,
JR Smith,70,2079,847,315,755,41.7,163,426,38.3,54,72,75,30,188,218,195,82,22,97,163,809,2.01,0.85,30,us,9/9/85,,10,195,NYK,101.25,26.62721893,0.407,0.152,0.363,0.078,0.205,0.09,0.094,0.039,0.011,0.014,SG
Jrue Holiday,40,1303,592,238,534,44.6,51,135,37.8,65,76,85.5,32,103,135,274,63,23,91,110,689,3.01,0.69,25,us,6/12/90,"University of California, Los Angeles",5,190,NOH,92.25,25.55401662,0.454,0.183,0.41,0.039,0.104,0.079,0.21,0.048,0.018,0.025,PG
Julius Randle,1,14,2,1,3,33.3,0,0,0,0,2,0,0,0,0,0,0,0,1,1,-3,0,0,21,us,11/29/94,University of Kentucky,0,202.5,LAL,112.5,27.43484225,0.143,0.071,0.214,0,0,0,0,0,0,0,PF
Justin Hamilton,41,713,219,85,178,47.8,10,31,32.3,39,47,83,57,77,134,36,27,30,26,70,319,1.39,1.04,25,us,4/1/90,Louisiana State University,1,210,MIN,117,26.53061224,0.307,0.119,0.25,0.014,0.043,0.108,0.05,0.038,0.042,0.08,C
Justin Holiday,59,657,254,91,235,38.7,35,109,32.1,37,45,82.2,12,61,73,48,40,12,29,54,246,1.66,1.38,26,us,4/5/89,University of Washington,1,195,GSW,83.25,21.89349112,0.387,0.139,0.358,0.053,0.166,0.093,0.073,0.061,0.018,0.018,SG
Jusuf Nurkic,62,1103,426,171,383,44.6,0,2,0,84,132,63.6,125,257,382,50,52,68,86,207,632,0.58,0.61,,,,,,,,,,0.386,0.155,0.347,0,0.002,0.233,0.045,0.047,0.062,0.113,
Kalin Lucas,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,26,us,5/24/89,Michigan State University,0,182.5,MEM,87.75,26.34640646,0,0,0.167,0,0,0,0,0.167,0,0,PG
Kawhi Leonard,64,2033,1057,394,822,47.9,67,192,34.9,202,252,80.2,85,376,461,161,148,48,97,128,1300,1.66,1.53,24,us,6/29/91,San Diego State University,3,197.5,SAS,103.5,26.53420926,0.52,0.194,0.404,0.033,0.094,0.185,0.079,0.073,0.024,0.042,SF
Kelly Olynyk,64,1424,656,251,528,47.5,61,175,34.9,93,136,68.4,92,211,303,109,64,39,98,213,753,1.11,0.65,24,ca,4/19/91,Gonzaga University,1,210,BOS,107.1,24.28571429,0.461,0.176,0.371,0.043,0.123,0.148,0.077,0.045,0.027,0.065,C
Kemba Walker,62,2119,1075,378,981,38.5,85,280,30.4,234,283,82.7,35,185,220,318,89,31,100,92,981,3.18,0.89,25,us,5/8/90,University of Connecticut,3,182.5,CHA,77.4,23.23888159,0.507,0.178,0.463,0.04,0.132,0.087,0.15,0.042,0.015,0.017,PG
Kendall Marshall,28,417,118,46,101,45.5,18,46,39.1,8,9,88.9,2,26,28,86,21,0,35,26,162,2.46,0.6,24,us,8/19/91,University of North Carolina,2,190,MIL,90,24.93074792,0.283,0.11,0.242,0.043,0.11,0.062,0.206,0.05,0,0.005,PG
Kendrick Perkins,68,1148,246,102,227,44.9,0,1,0,42,83,50.6,91,229,320,51,16,42,95,162,414,0.54,0.17,31,us,11/10/84,,11,205,OKC,121.5,28.91136228,0.214,0.089,0.198,0,0.001,0.199,0.044,0.014,0.037,0.079,C
Kenneth Faried,75,2086,946,373,736,50.7,1,8,12.5,199,288,69.1,242,426,668,89,62,57,118,211,1252,0.75,0.53,26,us,11/19/89,Morehead State University,3,200,DEN,102.6,25.65,0.453,0.179,0.353,0,0.004,0.204,0.043,0.03,0.027,0.116,PF
Kent Bazemore,75,1324,390,141,331,42.6,48,132,36.4,60,100,60,21,201,222,78,52,33,73,127,472,1.07,0.71,26,us,7/1/89,Old Dominion University,2,192.5,ATL,90.45,24.40883792,0.295,0.106,0.25,0.036,0.1,0.152,0.059,0.039,0.025,0.016,SG
Kentavious Caldwell-Pope,82,2587,1043,390,972,40.1,153,444,34.5,110,158,69.6,46,209,255,109,93,18,94,161,794,1.16,0.99,22,us,2/18/93,University of Georgia,1,192.5,DET,92.25,24.89458593,0.403,0.151,0.376,0.059,0.172,0.081,0.042,0.036,0.007,0.018,SG
Kenyon Martin,11,104,20,9,22,40.9,0,0,0,2,2,100,6,13,19,5,5,6,3,13,39,1.67,1.67,38,us,12/30/77,University of Cincinnati,14,202.5,MIL,105.3,25.67901235,0.192,0.087,0.212,0,0,0.125,0.048,0.048,0.058,0.058,PF
Kevin Durant,27,913,686,238,467,51,64,159,40.3,146,171,85.4,16,162,178,110,24,25,74,40,695,1.49,0.32,27,us,9/29/88,University of Texas at Austin,7,202.5,OKC,108,26.33744856,0.751,0.261,0.512,0.07,0.174,0.177,0.12,0.026,0.027,0.018,SF
Kevin Garnett,47,952,323,143,306,46.7,1,7,14.3,36,45,80,48,263,311,77,46,17,46,109,556,1.67,1,39,us,5/19/76,,19,207.5,MIN,108,25.0834664,0.339,0.15,0.321,0.001,0.007,0.276,0.081,0.048,0.018,0.05,PF
Kevin Love,75,2532,1228,413,952,43.4,144,392,36.7,258,321,80.4,142,589,731,168,51,39,122,140,1493,1.38,0.42,27,us,9/7/88,"University of California, Los Angeles",6,205,CLE,112.95,26.87685901,0.485,0.163,0.376,0.057,0.155,0.233,0.066,0.02,0.015,0.056,PF
Kevin Martin,39,1302,779,267,625,42.7,75,191,39.3,170,193,88.1,19,123,142,89,33,1,76,76,587,1.17,0.43,32,us,2/1/83,Western Carolina University,10,197.5,MIN,89.55,22.95785932,0.598,0.205,0.48,0.058,0.147,0.094,0.068,0.025,0.001,0.015,SG
Kevin Seraphin,79,1235,520,231,450,51.3,0,2,0,58,82,70.7,87,201,288,59,10,59,98,197,595,0.6,0.1,26,gf,12/7/89,,4,202.5,WAS,128.25,31.27572016,0.421,0.187,0.364,0,0.002,0.163,0.048,0.008,0.048,0.07,C
Khris Middleton,79,2378,1055,406,869,46.7,109,268,40.7,134,156,85.9,48,299,347,182,122,11,113,183,1119,1.61,1.08,24,us,8/12/91,Texas A&M University,2,200,MIL,105.3,26.325,0.444,0.171,0.365,0.046,0.113,0.126,0.077,0.051,0.005,0.02,SF
Kirk Hinrich,66,1610,377,142,381,37.3,58,168,34.5,35,50,70,20,101,121,148,46,14,73,144,379,2.03,0.63,34,us,1/2/81,University of Kansas,11,190,CHI,85.5,23.68421053,0.234,0.088,0.237,0.036,0.104,0.063,0.092,0.029,0.009,0.012,SG
KJ McDaniels,62,1352,487,172,434,39.6,43,150,28.7,100,133,75.2,65,135,200,72,44,70,105,126,473,0.69,0.42,22,us,2/9/93,Clemson University,0,195,PHI,92.25,24.26035503,0.36,0.127,0.321,0.032,0.111,0.1,0.053,0.033,0.052,0.048,SG
Klay Thompson,77,2455,1668,602,1299,46.3,239,545,43.9,225,256,87.9,27,220,247,222,87,60,149,122,1407,1.49,0.58,25,us,2/8/90,Washington State University,3,197.5,GSW,96.75,24.80371735,0.679,0.245,0.529,0.097,0.222,0.09,0.09,0.035,0.024,0.011,SG
Kobe Bryant,35,1207,782,266,713,37.3,54,184,29.3,196,241,81.3,26,173,199,197,47,7,128,65,612,1.54,0.37,37,us,8/23/78,,18,195,LAL,95.4,25.0887574,0.648,0.22,0.591,0.045,0.152,0.143,0.163,0.039,0.006,0.022,SG
Kosta Koufos,81,1348,419,182,358,50.8,0,0,0,55,85,64.7,121,305,426,37,29,63,69,148,699,0.54,0.42,26,us,2/24/89,Ohio State University,6,210,MEM,119.25,27.04081633,0.311,0.135,0.266,0,0,0.226,0.027,0.022,0.047,0.09,C
Kostas Papanikolaou,43,795,182,69,197,35,31,106,29.2,13,18,72.2,39,79,118,85,29,13,55,71,239,1.55,0.53,25,gr,7/31/90,,0,200,HOU,101.25,25.3125,0.229,0.087,0.248,0.039,0.133,0.099,0.107,0.036,0.016,0.049,SF
Kris Humphries,64,1345,509,211,446,47.3,0,7,0,87,117,74.4,118,298,416,57,34,25,46,130,730,1.24,0.74,30,us,2/6/85,University of Minnesota,10,202.5,WAS,105.75,25.78875171,0.378,0.157,0.332,0,0.005,0.222,0.042,0.025,0.019,0.088,PF
Kyle Anderson,33,358,74,31,89,34.8,3,11,27.3,9,14,64.3,5,67,72,28,15,7,10,28,123,2.8,1.5,22,us,9/20/93,"University of California, Los Angeles",0,202.5,SAS,103.5,25.24005487,0.207,0.087,0.249,0.008,0.031,0.187,0.078,0.042,0.02,0.014,SF
Kyle Korver,75,2418,911,292,600,48.7,221,449,49.2,106,118,89.8,15,289,304,196,52,42,107,140,1078,1.83,0.49,34,us,3/17/81,Creighton University,11,197.5,ATL,95.4,24.45761897,0.377,0.121,0.248,0.091,0.186,0.12,0.081,0.022,0.017,0.006,SG
Kyle Lowry,70,2414,1244,430,1043,41.2,132,391,33.8,252,312,80.8,54,274,328,473,109,13,173,212,1321,2.73,0.63,29,us,3/25/86,Villanova University,8,182.5,TOR,88.2,26.48151623,0.515,0.178,0.432,0.055,0.162,0.114,0.196,0.045,0.005,0.022,PG
Kyle O'Quinn,51,824,294,119,242,49.2,12,43,27.9,44,57,77.2,46,153,199,59,31,39,55,110,431,1.07,0.56,25,us,3/26/90,Norfolk State University,2,205,ORL,112.5,26.76977989,0.357,0.144,0.294,0.015,0.052,0.186,0.072,0.038,0.047,0.056,PF
Kyle Singler,80,1744,480,172,446,38.6,96,241,39.8,40,52,76.9,33,161,194,85,47,21,55,153,486,1.55,0.86,27,us,5/4/88,Duke University,2,200,OKC,102.6,25.65,0.275,0.099,0.256,0.055,0.138,0.092,0.049,0.027,0.012,0.019,SF
Kyrie Irving,75,2730,1628,578,1235,46.8,157,378,41.5,315,365,86.3,55,182,237,389,114,20,186,146,1495,2.09,0.61,23,au,3/23/92,Duke University,3,187.5,CLE,86.85,24.704,0.596,0.212,0.452,0.058,0.138,0.067,0.142,0.042,0.007,0.02,PG
LaMarcus Aldridge,71,2512,1661,659,1415,46.6,37,105,35.2,306,362,84.5,177,549,726,124,48,68,122,125,1693,1.02,0.39,30,us,7/19/85,University of Texas at Austin,8,207.5,POR,117,27.17375526,0.661,0.262,0.563,0.015,0.042,0.219,0.049,0.019,0.027,0.07,PF
Lance Stephenson,61,1573,501,207,550,37.6,18,105,17.1,69,110,62.7,39,238,277,240,38,8,128,134,552,1.88,0.3,25,us,9/5/90,University of Cincinnati,4,192.5,CHA,103.5,27.93051105,0.318,0.132,0.35,0.011,0.067,0.151,0.153,0.024,0.005,0.025,SG
Lance Thomas,62,1491,443,182,442,41.2,7,22,31.8,72,99,72.7,65,130,195,69,37,8,74,101,391,0.93,0.5,,,,,,,,,,0.297,0.122,0.296,0.005,0.015,0.087,0.046,0.025,0.005,0.044,
Landry Fields,26,216,46,20,41,48.8,1,2,50,5,6,83.3,10,16,26,15,11,0,8,9,68,1.88,1.38,27,us,6/27/88,Stanford University,4,197.5,TOR,94.5,24.22688672,0.213,0.093,0.19,0.005,0.009,0.074,0.069,0.051,0,0.046,SF
Langston Galloway,45,1457,533,204,511,39.9,62,176,35.2,63,78,80.8,37,153,190,150,52,12,61,129,554,2.46,0.85,24,us,12/9/91,Saint Joseph's University,0,185,NYK,90,26.29656684,0.366,0.14,0.351,0.043,0.121,0.105,0.103,0.036,0.008,0.025,PG
Larry Drew II,12,219,46,20,58,34.5,4,26,15.4,2,3,66.7,1,14,15,45,6,0,25,13,48,1.8,0.24,25,us,3/5/90,"University of California, Los Angeles",0,185,PHI,81,23.66691015,0.21,0.091,0.265,0.018,0.119,0.064,0.205,0.027,0,0.005,PG
Larry Sanders,27,586,196,86,172,50,0,0,0,24,48,50,67,99,166,23,26,39,28,104,312,0.82,0.93,,,,,,,,,,0.334,0.147,0.294,0,0,0.169,0.039,0.044,0.067,0.114,
Lavoy Allen,63,1070,315,141,299,47.2,0,0,0,33,47,70.2,123,200,323,73,15,42,40,102,556,1.83,0.38,26,us,2/4/89,Temple University,3,202.5,IND,117,28.53223594,0.294,0.132,0.279,0,0,0.187,0.068,0.014,0.039,0.115,C
Leandro Barbosa,66,982,467,183,386,47.4,43,112,38.4,58,74,78.4,23,68,91,99,41,8,44,87,443,2.25,0.93,33,br,11/28/82,,11,187.5,GSW,87.3,24.832,0.476,0.186,0.393,0.044,0.114,0.069,0.101,0.042,0.008,0.023,SG
